name;code;country;timezone
"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"ASX";"XASX";"Australia";"Australia/Sydney"
"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"CNQ";"XCNQ";"Canada";"America/Toronto"
"TSXV";"XTSX";"Canada";"America/Toronto"
"NEO";"NEOE";"Canada";"America/Toronto"
"TSX";"XTSE";"Canada";"America/Toronto"
"BVS";"XSGO";"Chile";"America/Santiago"
"SSE";"XSHG";"China";"Asia/Shanghai"
"SZSE";"XSHE";"China";"Asia/Shanghai"
"PSE";"XPRA";"Czech Republic";"Europe/Prague"
"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"EGX";"XCAI";"Egypt";"Africa/Cairo"
"OMXT";"XTAL";"Estonia";"Europe/Tallinn"
"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext";"XPAR";"France";"Europe/Paris"
"XSTU";"XSTU";"Germany";"Europe/Berlin"
"XHAM";"XHAM";"Germany";"Europe/Berlin"
"XDUS";"XDUS";"Germany";"Europe/Berlin"
"XETR";"XETR";"Germany";"Europe/Berlin"
"FSX";"XFRA";"Germany";"Europe/Berlin"
"Munich";"XMUN";"Germany";"Europe/Berlin"
"ASE";"ASEX";"Greece";"Europe/Athens"
"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"BSE";"XBUD";"Hungary";"Europe/Budapest"
"BSE";"XBOM";"India";"Asia/Kolkata"
"NSE";"XNSE";"India";"Asia/Kolkata"
"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"MTA";"XMIL";"Italy";"Europe/Rome"
"JPX";"XJPX";"Japan";"Asia/Tokyo"
"XSAP";"XSAP";"Japan";"Asia/Tokyo"
"MYX";"XKLS";"Malaysia";"Asia/Kuala_Lumpur"
"BMV";"XMEX";"Mexico";"America/Mexico_City"
"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"OSE";"XOSL";"Norway";"Europe/Oslo"
"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"QE";"DSMD";"Qatar";"Asia/Qatar"
"MOEX";"MISX";"Russia";"Europe/Moscow"
"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"SGX";"XSES";"Singapore";"Asia/Singapore"
"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"KRX";"XKRX";"South Korea";"Asia/Seoul"
"BME";"XMAD";"Spain";"Europe/Madrid"
"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"SET";"XBKK";"Thailand";"Asia/Bangkok"
"BIST";"XIST";"Turkey";"Europe/Istanbul"
"LSE";"XLON";"United Kingdom";"Europe/London"
"OTC";"Expert Market";"United States";"America/New_York"
"OTC";"Grey";"United States";"America/New_York"
"NYSE";"ARCX";"United States";"America/New_York"
"NYSE";"XASE";"United States";"America/New_York"
"NYSE";"XNYS";"United States";"America/New_York"
"CBOE";"BATS";"United States";"America/New_York"
"OTC";"OTCQX";"United States";"America/New_York"
"OTC";"OTCQB";"United States";"America/New_York"
"OTC";"Pink";"United States";"America/New_York"
"IEX";"IEXG";"United States";"America/New_York"
"NASDAQ";"XNCM";"United States";"America/New_York"
"NASDAQ";"XNMS";"United States";"America/New_York"
"NASDAQ";"XNGS";"United States";"America/New_York"
"BVCC";"BVCA";"Venezuela";"America/Caracas"
